지역,LAT,LON
서울,37.541,126.986
부산,35.183759,129.075469
대구,35.871449,128.601424
인천,37.456223,126.705173
광주,35.160077,126.851467
대전,36.350416,127.384515
울산,35.538735,129.31138
수원,37.274614,127.009509
춘천,37.886296,127.730099
청주,36.635577,127.49137
전주,35.821001,127.11138
창원,35.238294,128.692377
제주,33.489013,126.49834
