지점,일시,합계 강수량,일 최다 강수량,일 최다 강수량 나타난날(yyyymmdd)
159,2007,1276.5,88,20070701
159,2008,1168.3,144,20080812
159,2009,1772.9,310,20090707
159,2010,1441.9,106,20100711
159,2011,1478.6,245,20110727
159,2012,1983.3,231,20120715
159,2013,1130.1,105.5,20130528
159,2014,1693.1,129.5,20140818
159,2015,1396.7,87.5,20150419
159,2016,1760.2,119.4,20160917
